id,cleaning_fee,price,bedrooms,beds,bathrooms,personCapacity,reviewsCount,isSuperhost,avgRating,lat,lng
30340734,0,15,1.0,2.0,1.0,4,32,False,4.63,4.64642,-74.0638
41398943,5,11,1.0,2.0,1.0,3,11,False,4.27,4.58985,-74.13729
39666299,8,11,1.0,0.0,1.0,2,4,False,4.5,4.62496,-74.13731
44464802,8,15,1.0,1.0,1.0,2,0,False,,4.64104,-74.06949
43495240,8,11,0.0,1.0,1.0,2,0,False,,4.64215,-74.06995
40972640,8,11,2.0,2.0,1.0,3,2,False,,4.63865,-74.06824
44477148,8,16,1.0,1.0,1.0,2,0,False,,4.64099,-74.07038
39248469,0,10,2.0,3.0,1.0,6,1,False,,4.70183,-74.12467
30824714,8,15,2.0,2.0,1.0,4,17,False,4.5,4.63912,-74.06822
39666299,8,11,1.0,0.0,1.0,2,4,False,4.5,4.62496,-74.13731
29375215,8,16,1.0,1.0,1.0,4,14,False,4.57,4.64091,-74.06929
24407862,0,13,1.0,1.0,1.0,1,40,False,4.7,4.66945,-74.08524
36567358,0,14,1.0,2.0,1.0,3,90,False,4.69,4.68509,-74.12668
43135167,8,13,1.0,1.0,1.0,2,4,False,4.75,4.64205,-74.07103
25777584,15,15,1.0,1.0,1.0,2,23,True,4.87,4.6547,-74.06305
20926734,0,11,2.0,2.0,1.0,2,1,False,,4.60856,-74.0772
33100045,20,15,1.0,4.0,1.0,3,28,True,4.71,4.63945,-74.05711
38433275,12,15,0.0,3.0,2.0,5,6,True,4.83,4.64538,-74.14573
26279979,0,13,1.0,2.0,1.0,4,7,True,4.71,4.58346,-74.08341
43580983,0,10,1.0,1.0,1.0,1,0,False,,4.59851,-74.07327
15746327,5,15,1.0,1.0,1.0,2,3,False,5.0,4.66916,-74.06861
21321328,0,13,1.0,1.0,1.0,2,188,True,4.77,4.59225,-74.07209
44000960,0,13,1.0,1.0,1.0,2,1,False,,4.6275,-74.06717
29185085,0,15,1.0,1.0,1.0,1,22,True,4.86,4.6374,-74.0717
32936763,5,15,1.0,2.0,1.0,2,13,True,4.92,4.6672,-74.11941
33470663,5,16,1.0,2.0,1.0,4,37,False,4.65,4.62704,-74.08306
39150488,13,13,1.0,2.0,1.5,3,8,False,4.75,4.64927,-74.06603
18916189,12,16,2.0,2.0,3.0,3,35,False,4.62,4.73953,-74.04019
25777584,15,15,1.0,1.0,1.0,2,23,True,4.87,4.6547,-74.06305
44244049,0,9,1.0,1.0,1.0,2,0,False,,4.61044,-74.06889
22360322,5,10,1.0,1.0,1.5,2,2,False,,4.59174,-74.136
29375215,8,16,1.0,1.0,1.0,4,14,False,4.57,4.64091,-74.06929
22056565,21,13,1.0,1.0,1.0,2,17,False,4.35,4.60152,-74.1012
22115342,7,14,1.0,1.0,1.0,3,64,False,4.52,4.64739,-74.06381
26447223,7,10,2.0,2.0,1.0,4,80,False,4.51,4.71015,-74.12772
39248469,0,10,2.0,3.0,1.0,6,1,False,,4.70183,-74.12467
35744487,42,14,1.0,2.0,1.0,4,53,True,4.83,4.64082,-74.06371
27755341,0,14,2.0,3.0,1.0,4,3,False,4.67,4.66683,-74.15505
42020852,15,14,2.0,3.0,2.0,4,5,False,5.0,4.67085,-74.09631
24407862,0,13,1.0,1.0,1.0,1,40,False,4.7,4.66945,-74.08524
40172309,10,15,1.0,2.0,1.0,2,1,False,,4.69928,-74.09958
29751257,13,16,1.0,1.0,1.0,3,16,False,4.31,4.6411,-74.0699
33470193,0,12,2.0,2.0,2.5,3,8,False,4.63,4.58561,-74.15614
43580983,0,10,1.0,1.0,1.0,1,0,False,,4.59851,-74.07327
19845048,13,16,1.0,1.0,1.0,2,54,True,4.8,4.63212,-74.06836
22056565,21,13,1.0,1.0,1.0,2,17,False,4.35,4.60152,-74.1012
44338904,8,15,1.0,1.0,1.0,2,0,False,,4.62548,-74.06981
43809501,9,13,1.0,1.0,1.0,2,1,False,,4.75223,-74.10138
39150488,13,13,1.0,2.0,1.5,3,8,False,4.75,4.64927,-74.06603
29751257,13,16,1.0,1.0,1.0,3,16,False,4.31,4.6411,-74.0699
34020330,0,15,2.0,2.0,1.0,3,18,False,4.18,4.75347,-74.0936
23416007,10,16,1.0,1.0,1.0,2,28,True,4.71,4.69338,-74.0698
11441295,15,12,1.0,1.0,1.0,6,66,False,4.5,4.60371,-74.06969
43669079,7,14,,1.0,1.0,2,1,False,,4.66662,-74.06292
31362916,8,15,1.0,1.0,1.0,2,1,False,,4.64009,-74.06786
27755341,0,14,2.0,3.0,1.0,4,3,False,4.67,4.66683,-74.15505
30824714,8,15,2.0,2.0,1.0,4,17,False,4.5,4.63912,-74.06822
22360322,5,10,1.0,1.0,1.5,2,2,False,,4.59174,-74.136
40897280,0,15,3.0,3.0,2.0,6,3,False,5.0,4.70953,-74.21501
43135167,8,13,1.0,1.0,1.0,2,4,False,4.75,4.64205,-74.07103
15746327,5,15,1.0,1.0,1.0,2,3,False,5.0,4.66916,-74.06861
24407862,0,13,1.0,1.0,1.0,1,40,False,4.7,4.66945,-74.08524
29375885,8,15,1.0,1.0,1.0,2,4,False,4.75,4.64242,-74.07033
38826307,0,10,2.0,3.0,1.0,6,4,False,4.5,4.70231,-74.12415
22967111,15,14,1.0,1.0,1.0,3,18,False,4.83,4.67009,-74.0651
36839327,8,14,2.0,2.0,2.0,4,7,True,4.86,4.65421,-74.15588
40728637,0,16,2.0,3.0,1.0,6,2,False,,4.62065,-74.14895
42249412,5,12,1.0,1.0,1.0,2,3,False,4.67,4.71606,-74.067
30069439,0,16,1.0,2.0,1.0,4,51,False,4.59,4.64602,-74.06442
11441295,15,12,1.0,1.0,1.0,6,66,False,4.5,4.60371,-74.06969
20721594,4,15,1.0,2.0,1.5,3,44,False,4.82,4.64794,-74.06502
28155405,5,13,1.0,1.0,1.0,2,4,False,4.0,4.66638,-74.06873
32966606,7,15,1.0,2.0,1.0,3,11,True,4.91,4.67617,-74.11188
23118731,8,14,1.0,1.0,1.0,2,4,False,5.0,4.61346,-74.07221
44338904,8,15,1.0,1.0,1.0,2,0,False,,4.62548,-74.06981
23167869,15,13,1.0,0.0,1.0,3,23,False,4.57,4.67008,-74.06509
41213478,5,12,1.0,1.0,1.0,3,1,False,,4.58228,-74.08305
30419933,5,13,3.0,3.0,2.0,4,7,False,4.71,4.71871,-74.12826
43744223,8,16,1.0,1.0,1.0,3,2,False,,4.62611,-74.07143
38403208,14,14,1.0,1.0,1.5,2,14,False,4.36,4.68703,-74.06813
41490178,22,13,1.0,2.0,1.5,3,3,False,4.33,4.7544,-74.08013
42923440,8,13,3.0,3.0,1.0,5,3,False,5.0,4.6944,-74.1123
20926734,0,11,2.0,2.0,1.0,2,1,False,,4.60856,-74.0772
43043512,8,15,0.0,1.0,1.0,3,0,False,,4.61785,-74.07431
23167869,15,13,1.0,0.0,1.0,3,23,False,4.57,4.67008,-74.06509
43809501,9,13,1.0,1.0,1.0,2,1,False,,4.75223,-74.10138
28155405,5,13,1.0,1.0,1.0,2,4,False,4.0,4.66638,-74.06873
39035515,5,14,2.0,2.0,2.0,4,10,False,4.1,4.59393,-74.09074
40728637,0,16,2.0,3.0,1.0,6,2,False,,4.62065,-74.14895
17433532,14,14,1.0,1.0,1.0,2,56,False,4.36,4.63974,-74.07235
41490178,22,13,1.0,2.0,1.5,3,3,False,4.33,4.7544,-74.08013
44340751,8,15,1.0,1.0,1.0,2,0,False,,4.62731,-74.07201
42216407,8,15,1.0,,1.5,4,4,False,5.0,4.61757,-74.0735
43649079,5,10,1.0,1.0,1.5,2,0,False,,4.59225,-74.13566
42312789,30,15,1.0,2.0,1.0,4,1,False,,4.62642,-74.07554
44378117,8,15,1.0,2.0,1.0,3,0,False,,4.62592,-74.07008
43117521,8,13,0.0,1.0,1.0,2,1,False,,4.642,-74.07122
31362916,8,15,1.0,1.0,1.0,2,1,False,,4.64009,-74.06786
44359022,8,16,1.0,1.0,1.0,2,0,False,,4.63463,-74.06645
22451532,0,14,1.0,1.0,1.0,4,8,False,4.13,4.75296,-74.09287
41749541,8,15,2.0,2.0,1.0,3,3,False,5.0,4.63719,-74.1524
24443867,14,15,1.0,1.0,1.0,2,24,False,4.42,4.63832,-74.07712
40897280,0,15,3.0,3.0,2.0,6,3,False,5.0,4.70953,-74.21501
31879229,0,15,1.0,2.0,1.0,2,1,False,,4.72815,-74.05135
43043512,8,15,0.0,1.0,1.0,3,0,False,,4.61785,-74.07431
38821784,5,13,1.0,1.0,1.5,2,8,False,4.0,4.66736,-74.06872
41490178,22,13,1.0,2.0,1.5,3,3,False,4.33,4.7544,-74.08013
22754215,14,14,1.0,1.0,1.0,2,36,False,3.89,4.63781,-74.07248
32671506,6,12,2.0,2.0,1.0,4,10,False,4.5,4.70907,-74.1272
21837636,14,15,1.0,1.0,1.0,2,12,False,4.25,4.66222,-74.07156
44340675,8,16,1.0,1.0,1.0,2,0,False,,4.6276,-74.07064
19845048,13,16,1.0,1.0,1.0,2,54,True,4.8,4.63212,-74.06836
42863045,13,15,1.0,1.0,1.0,2,0,True,,4.64212,-74.06347
43649079,5,10,1.0,1.0,1.5,2,0,False,,4.59225,-74.13566
